sensitivity_type	analysis_cell_id	k	summary_effect_label	i2_percent	interpretation	notes
manual_pooled	SASHB__incident_heart_failure__continuous_standardized__competing_risk	2	HR 1.2094 (1.0750-1.3606)	0.00	higher risk with no observed heterogeneity	Competing-risk heart-failure sensitivity using the same two SASHB cohort families.
primary_exploratory_harmonization	T90__incident_atrial_fibrillation__per10pct_harmonized_ci_based	2	HR 1.0615 (1.0420-1.0814)	0.00	higher risk with no observed heterogeneity	Rounded-CI endpoint rescaling from per 1% to per 10% for the Blanchard row.
precision_check_sensitivity	T90__incident_atrial_fibrillation__per10pct_harmonized_pvalue_check	2	HR 1.0637 (1.0401-1.0878)	5.85	higher risk with low between-study heterogeneity	P-value-derived SE rescaling from per 1% to per 10% for the Blanchard row.
leave_one_out_range	HB__CVD_mortality__categorical_high_vs_low	2->1	1.9600-2.7300	0.00	Single-study estimates remained directionally consistent after omitting either contributing study.	Azarbarzin_2019_SHHS_CVDmort_Q5vsQ1; Azarbarzin_2019_MrOS_CVDmort_Q5vsQ1
leave_one_out_range	HB__CVD_mortality__continuous_log	2->1	1.7300-2.0300	0.00	Single-study estimates remained directionally consistent after omitting either contributing study.	Azarbarzin_2019_SHHS_CVDmort_log10HB_M4; Azarbarzin_2019_MrOS_CVDmort_log10HB_M4
leave_one_out_range	HB__all-cause_mortality__continuous_standardized	2->1	1.0600-1.2100	0.00	Single-study estimates remained directionally consistent after omitting either contributing study.	Labarca_2023_MrOS_allcause_HB_per1SD; Labarca_2023_MESA_allcause_HB_per1SD
leave_one_out_range	SASHB__incident_heart_failure__continuous_standardized	2->1	1.1800-1.2200	0.00	Single-study estimates remained directionally consistent after omitting either contributing study.	Azarbarzin_2020_SHHS_men_incHF_SASHB_per1SD; Azarbarzin_2020_MrOS_men_incHF_SASHB_per1SD
