Primary pooled cell,Range after omitting one cohort,Main reading
HB and CVD mortality (high vs low),1.96-2.73,Single-study estimates remained positive after omitting either HB high-vs-low cohort.
HB and CVD mortality (continuous log),1.73-2.03,Single-study estimates remained positive after omitting either continuous-log HB cohort.
HB and all-cause mortality,1.06-1.21,Direction was preserved after omitting either all-cause mortality cohort.
SASHB and incident heart failure,1.18-1.22,Direction was preserved after omitting either male-subgroup SASHB cohort.
